# Citilinc geofenced bus stops, transcribed from the NMPML RTI reply
# (letter 3120/2026, 17 Aug 2026), annexure pages 137-166 of 198.
# The PDF is a 300 DPI scan with no text layer, so this table was read
# off the page rather than parsed. sr is the source table's own row number.
# sr|depot|city|name|lat|lon
334|Tapovan Depot|Nashik|Gas Agency|19.82811|73.67926
335|Tapovan Depot|Nashik|Gonde Fhata (U)|19.82951|73.67554
336|Tapovan Depot|Nashik|Lear Company (D)|19.84072|73.67809
337|Tapovan Depot|Nashik|Lear Company (U)|19.84035|73.67801
338|Tapovan Depot|Nashik|VTC Company (D)|19.84324|73.68051
339|Tapovan Depot|Nashik|VTC Company (U)|19.84290|73.68052
340|Tapovan Depot|Nashik|Darana Fata (D)|19.84756|73.68156
341|Tapovan Depot|Nashik|Darana Fata (U)|19.84730|73.68184
342|Tapovan Depot|Nashik|Wadhivare Fata (U)|19.86177|73.68435
343|Tapovan Depot|Nashik|Maheshwari Bhavan (Jay Bhavani Road) (U)|19.94712|73.82988
344|Tapovan Depot|Nashik|Maheshwari Bhavan (Jay Bhavani Road) (D)|19.94702|73.82988
345|Tapovan Depot|Nashik|Gangapur Gaon|20.03154|73.71710
346|Tapovan Depot|Nashik|Ashok Sthambh|20.00644|73.78470
347|Tapovan Depot|Nashik|Peth Phata (D)|20.01236|73.79355
348|Tapovan Depot|Nashik|Peth Phata (U)|20.01236|73.79388
349|Tapovan Depot|Nashik|Nashik N.M.C Panchwati Office (D)|20.01149|73.78925
350|Tapovan Depot|Nashik|Nashik N.M.C Panchvati Office (U)|20.01154|73.78913
351|Tapovan Depot|Nashik|Ramwadi|20.01100|73.78626
352|Nashik Road Depot|Nashik|Samaj Kalyan Vastigruh (D)|20.03793|73.86694
353|Nashik Road Depot|Nashik|Samaj Kalyan Vastigruh (U)|20.03809|73.86683
354|Nashik Road Depot|Nashik|Bhujbal Knowledge City Corner|20.03322|73.85958
355|Tapovan Depot|Nashik|South Gate Lahvit|19.83190|73.81350
356|Tapovan Depot|Nashik|Jain Railway Gate|19.82812|73.79343
357|Tapovan Depot|Nashik|Lohshingave Phata|19.82557|73.79029
358|Tapovan Depot|Nashik|Vanjarwadi Phata|19.82745|73.80838
359|Tapovan Depot|Nashik|Lahvit Gaon|19.85287|73.81805
360|Tapovan Depot|Nashik|Lahavit Gaon|19.85248|73.81614
361|Tapovan Depot|Nashik|Ashtavinayak Lawns|19.87143|73.82024
362|Tapovan Depot|Nashik|Railway Gate (Lahvit)|19.87424|73.82642
363|Tapovan Depot|Nashik|Nutan High School|19.87779|73.82382
364|Tapovan Depot|Nashik|South Main Gate No.1|19.87722|73.80662
365|Tapovan Depot|Nashik|Barnes School and Junior College|19.87692|73.80792
366|Tapovan Depot|Nashik|Barnes School Road|19.87792|73.82855
367|Nashik Road Depot|Nashik|Audubar Nagar (Lekha Nagar)|19.97218|73.76762
368|Nashik Road Depot|Nashik|Sanjeevani Nagar (Ozar)|20.08631|73.92060
369|Nashik Road Depot|Nashik|Poltry Farm (Nagal Wadi)|20.06066|73.63480
370|Nashik Road Depot|Nashik|Dive Vasti|20.05906|73.62526
371|Nashik Road Depot|Nashik|Dhondegaon Chowfuli|20.05757|73.62277
372|Nashik Road Depot|Nashik|Jadhav Wadi|20.04795|73.61176
373|Tapovan Depot|Nashik|Gangamhalungi|20.04409|73.59851
374|Tapovan Depot|Nashik|Ozar Khed Gaon|20.04797|73.62295
375|Tapovan Depot|Nashik|Nagal Vadi Phata|20.06542|73.65007
376|Tapovan Depot|Nashik|Ozar Khed Phata|20.06878|73.65428
377|Tapovan Depot|Nashik|Hanuman Mandir (Goulane)|19.90572|73.74087
378|Tapovan Depot|Nashik|Fheboan Company (Gaulane)|19.91941|73.73947
379|Tapovan Depot|Nashik|SBI Bank Gavlane|19.91129|73.73916
380|Tapovan Depot|Nashik|Vitbhatti Gaulane|19.93292|73.73865
381|Tapovan Depot|Nashik|Surya Steel|19.90656|73.72841
382|Tapovan Depot|Nashik|Ambebahula Phata|19.90942|73.71851
383|Tapovan Depot|Nashik|Gavlanegaon|19.90747|73.74121
384|Tapovan Depot|Nashik|Ambebahula Gaon|19.90765|73.71844
385|Tapovan Depot|Nashik|Thapekar Vasti|19.90637|73.73238
386|Tapovan Depot|Nashik|Pandurang Nivas|19.91404|73.73915
387|Tapovan Depot|Nashik|Virbaba Chaufuli|19.91711|73.73941
388|Tapovan Depot|Nashik|Kachara Depot|19.93593|73.73654
389|Nashik Road Depot|Nashik|Gangapur Dam Boat Club|20.05367|73.67870
390|Tapovan Depot|Nashik|Shivanai Fata (Mohadi)|20.14343|73.88916
391|Tapovan Depot|Nashik|Shri. Krushan Nagar (Mohadi)|20.13985|73.88574
392|Tapovan Depot|Nashik|D.Y Chari (Canol Vagad)|20.13351|73.87308
393|Tapovan Depot|Nashik|Bhavar Vasti (Ambe)|20.12648|73.86698
394|Tapovan Depot|Nashik|Gaul Vadi Fata (Ambe)|20.12121|73.86094
395|Tapovan Depot|Nashik|Dadasaheb Gaikwad Nagar (Ambe)|20.11727|73.86093
396|Tapovan Depot|Nashik|Ambe|20.11505|73.85928
397|Tapovan Depot|Nashik|New Engish School (Ambe)|20.11604|73.85713
398|Tapovan Depot|Nashik|Malyacha Mala (Ambe)|20.11239|73.85510
399|Tapovan Depot|Nashik|Ranmala (Ambe)|20.10740|73.85416
400|Tapovan Depot|Nashik|Shivnai Gaon|20.10056|73.85108
401|Tapovan Depot|Nashik|Nimabarkar Vasti|20.09339|73.84722
402|Tapovan Depot|Nashik|Gatkal Vasti|20.08956|73.84408
403|Tapovan Depot|Nashik|Fasale Vasti|20.08277|73.83868
404|Tapovan Depot|Nashik|Varvandi Gaon|20.07791|73.83502
405|Tapovan Depot|Nashik|Mahavir Polytechanic College|20.07163|73.83373
406|Tapovan Depot|Nashik|Mhasoba Maharaj Mandir (Varvandi)|20.06794|73.83250
407|Tapovan Depot|Nashik|Dr. Jadhav Vasti (Varvandi)|20.06564|73.83090
408|Tapovan Depot|Nashik|Gavle Maharaj Aashram|20.05950|73.82691
409|Tapovan Depot|Nashik|Analandi Canol (Varvandi)|20.05624|73.82372
410|Tapovan Depot|Nashik|Patil Nursury|20.05314|73.81834
411|Tapovan Depot|Nashik|Suryavanshi Mala|20.05125|73.81262
412|Tapovan Depot|Nashik|Medical Fata (Mhasrul)|20.04778|73.80887
413|Tapovan Depot|Nashik|Mico Circle|19.99452|73.77224
414|Tapovan Depot|Nashik|Aakrale Gaon|20.14774|73.84860
415|Tapovan Depot|Nashik|Company|20.14520|73.87094
416|Tapovan Depot|Nashik|Vasti (Akrale)|20.14454|73.88459
417|Tapovan Depot|Nashik|Akrale Phata|20.14469|73.88905
418|Tapovan Depot|Nashik|Oney / Khervadi Chaufuli|20.04917|73.96795
419|Tapovan Depot|Nashik|Dikle Vasti (Sayyad Pimpri)|20.04550|73.95010
420|Tapovan Depot|Nashik|Maruti Mandir (Sayyad Pimpri)|20.04536|73.94719
421|Tapovan Depot|Nashik|Asaram Bapu Kendra|20.04311|73.93268
422|Tapovan Depot|Nashik|Vibhagiya Ayukt Karyalay|19.95233|73.84002
423|Nashik Road Depot|Nashik|Shigve Bahula|19.89554|73.81176
424|Nashik Road Depot|Nashik|Deolali High School|19.89567|73.81277
425|Nashik Road Depot|Nashik|Khandobha Tekadi (Dhondi Road)|19.89756|73.82190
426|Nashik Road Depot|Nashik|Dairy Farm|19.90519|73.82049
427|Nashik Road Depot|Nashik|Hanuman Madir Pathardi Gaon|19.94238|73.77376
428|Nashik Road Depot|Nashik|Radha Vitthal Nagar|19.93910|73.76986
429|Nashik Road Depot|Nashik|Mondhe Nagar|19.93720|73.76828
430|Nashik Road Depot|Nashik|SSK Club|19.93341|73.76346
431|Nashik Road Depot|Nashik|Yashwant Nagar|19.93035|73.76048
432|Nashik Road Depot|Nashik|Vatika Row House|19.92792|73.75630
433|Nashik Road Depot|Nashik|Vaadiche Raan|19.91997|73.74782
434|Nashik Road Depot|Nashik|Odha Fata Pool Eklahare|19.99337|73.90803
435|Nashik Road Depot|Nashik|Ekalhara Village 2|19.99277|73.90571
436|Nashik Road Depot|Nashik|Ekalhara Village 1|19.98931|73.90352
437|Nashik Road Depot|Nashik|Cement Factory Eklahara|19.97695|73.89504
438|Nashik Road Depot|Nashik|Deshmukh Wadi (Ankalahara)|19.97753|73.88604
439|Nashik Road Depot|Nashik|Indiranagar (Ankalahara)|19.97869|73.88415
440|Nashik Road Depot|Nashik|Mangir Babar|19.97782|73.88034
441|Nashik Road Depot|Nashik|Eklahara Gate 2|19.97644|73.87760
442|Nashik Road Depot|Nashik|Khadi Crusher Eklahara|19.97542|73.86529
443|Nashik Road Depot|Nashik|Magar Mala|19.95775|73.85222
444|Nashik Road Depot|Nashik|Shinde Mala (Peth Rd) (D)|20.05138|73.78911
445|Nashik Road Depot|Nashik|Meherdham (D) Peth Rd|20.04035|73.79430
446|Nashik Road Depot|Nashik|Shani Mandir U (Peth Rd)|20.01734|73.79378
447|Tapovan Depot|Nashik|Shivshakti Chowk (U)|19.98796|73.75424
448|Tapovan Depot|Nashik|Hedgewar Chowk (U)|19.98706|73.75634
449|Tapovan Depot|Nashik|Ayodhya Colony|19.97637|73.74699
450|Tapovan Depot|Nashik|Gopal Baba Mandir 1|20.18104|73.98812
451|Tapovan Depot|Nashik|Niphad Phata 1|20.17361|73.98612
452|Tapovan Depot|Nashik|Nuri Chowk|19.99413|73.79281
453|Tapovan Depot|Nashik|Police Chowki (Ashok Nagar)|19.98926|73.71393
454|Tapovan Depot|Nashik|Nimani 2|20.01125|73.79581
455|Tapovan Depot|Nashik|Shivshakti Chowk|19.98866|73.75253
456|Tapovan Depot|Nashik|Shahu Nagar|19.98857|73.75006
457|Nashik Road Depot|Nashik|K.B.T College|20.01580|73.76155
458|Nashik Road Depot|Nashik|Sanklecha Society|20.01491|73.84216
459|Nashik Road Depot|Nashik|Vrindavan Nagar|20.01636|73.84343
460|Nashik Road Depot|Nashik|Radhakrishna Chowk|20.01634|73.84532
461|Nashik Road Depot|Nashik|Dutt Nagar|20.01641|73.84762
462|Nashik Road Depot|Nashik|Rajalakshmi Colony|20.01666|73.85002
463|Nashik Road Depot|Nashik|Nashik Road Depot|19.94079|73.84220
464|Nashik Road Depot|Nashik|Kathe Gate|19.88907|73.82993
465|Nashik Road Depot|Nashik|Premium Market|20.05779|73.88657
466|Tapovan Depot|Nashik|Deolali Camp (New)|19.90220|73.82958
467|Nashik Road Depot|Nashik|Krushi Vidyan Kendra|20.02194|73.69097
468|Nashik Road Depot|Nashik|Y.C.M Mukt Vidyapith|20.02098|73.69297
469|Tapovan Depot|Nashik|Gangavarhe|20.00586|73.65985
470|Nashik Road Depot|Nashik|Soma Wine|20.00885|73.66455
471|Nashik Road Depot|Nashik|Yark Waynary|20.01130|73.67453
472|Nashik Road Depot|Nashik|Savargoan|20.00930|73.68181
473|Nashik Road Depot|Nashik|Sula Wines Gate|20.00887|73.68797
474|Nashik Road Depot|Nashik|MET College (Gangavarhe)|20.00870|73.69182
475|Nashik Road Depot|Nashik|Sula Wine Phata|20.01407|73.69987
476|Tapovan Depot|Nashik|Kanetkar Udyan|20.02209|73.70755
477|Nashik Road Depot|Nashik|Ozar Airforce School|20.10773|73.91501
478|Nashik Road Depot|Nashik|Ozar Airforce Colony Gate|20.10173|73.92625
479|Nashik Road Depot|Nashik|Valdevi Army Gate|19.92450|73.81292
480|Tapovan Depot|Nashik|Army Public School|19.88817|73.82643
481|Nashik Road Depot|Nashik|Kanchan Tembi|19.84625|73.61319
482|Nashik Road Depot|Nashik|Grover Zampa Wineyard|19.83890|73.62638
483|Tapovan Depot|Nashik|Bambale Phata|19.83712|73.63177
484|Nashik Road Depot|Nashik|Nandu Bodake Mala|19.84829|73.61045
485|Nashik Road Depot|Nashik|Modala|19.85222|73.61085
486|Nashik Road Depot|Nashik|Grampanchayt Karyalay|19.85081|73.61097
487|Nashik Road Depot|Nashik|Hedgewar Chowk|19.98640|73.75615
488|Nashik Road Depot|Nashik|Vijay Nagar 1|19.96786|73.76017
489|Nashik Road Depot|Nashik|Central Park|19.96676|73.76195
490|Nashik Road Depot|Nashik|Kai. Vamnarao Sonwane Chowk|19.96634|73.76612
491|Nashik Road Depot|Nashik|Rane Nagar|19.96605|73.76934
492|Nashik Road Depot|Nashik|Pushpanjali Stand|19.96627|73.77239
493|Tapovan Depot|Nashik|Rajeev Nagar|19.96705|73.77497
494|Nashik Road Depot|Nashik|Sainath Nagar (Rajeev Nagar)|19.96813|73.77786
495|Nashik Road Depot|Nashik|Indira Nagar (Old Police Station)|19.96959|73.77938
496|Tapovan Depot|Nashik|Stop 5 Gas Agency|20.10620|73.95479
497|Tapovan Depot|Nashik|Stop 4 HAL Hospital|20.10468|73.95120
498|Tapovan Depot|Nashik|Stop 3 Shopping Center|20.10390|73.94924
499|Tapovan Depot|Nashik|Stop 2|20.10049|73.94130
500|Tapovan Depot|Nashik|Stop No 1 / Marimata Gate|20.09854|73.93723
501|Nashik Road Depot|Nashik|Umrale|20.19448|73.71800
502|Nashik Road Depot|Nashik|Rasegoan (D)|20.15570|73.74358
503|Nashik Road Depot|Nashik|Rasegoan (U)|20.15452|73.74430
504|Tapovan Depot|Nashik|Dhage Vasti|20.14073|73.75357
505|Nashik Road Depot|Nashik|Pimpalner Fata|20.13269|73.75683
506|Tapovan Depot|Nashik|Godrej Company|20.12039|73.76237
507|Nashik Road Depot|Nashik|Tungaldara|20.10820|73.76412
508|Nashik Road Depot|Nashik|Ramshej Killa|20.10454|73.76689
509|Nashik Road Depot|Nashik|Ashewadi Goan|20.10092|73.77032
510|Tapovan Depot|Nashik|Rucha Hotel|20.09705|73.77212
511|Tapovan Depot|Nashik|Gawalwadi|20.09053|73.77571
512|Nashik Road Depot|Nashik|Dhumal Company|20.08602|73.77711
513|Tapovan Depot|Nashik|MaNaPa Kaman Peth Road|20.07989|73.77984
514|Nashik Road Depot|Nashik|Dhatrak Farm|20.07376|73.77859
515|Nashik Road Depot|Nashik|Jakat Naka Peth Road|20.06758|73.78029
516|Nashik Road Depot|Nashik|Dindori Panchayat Samiti (Swami Samarth Kendra)|20.20644|73.82903
517|Nashik Road Depot|Nashik|Dindori Chofuli|20.20547|73.83152
518|Nashik Road Depot|Nashik|Canal Kulkarni Farm|20.05627|73.80569
519|Nashik Road Depot|Nashik|Khatwad Phata|20.12872|73.81292
520|Nashik Road Depot|Nashik|Shubheccha Lawns|20.06218|73.80558
521|Nashik Road Depot|Nashik|Kakad Mala|20.05339|73.75743
522|Tapovan Depot|Nashik|Saikheda Trifuli|20.01921|73.99610
523|Tapovan Depot|Nashik|H.A.L Main Gate No.2|20.10436|73.93898
524|Tapovan Depot|Nashik|Canol (Ozar Road)|20.11620|73.95286
525|Tapovan Depot|Nashik|Kokangaon Fata|20.13005|73.96517
526|Tapovan Depot|Nashik|Sakore Mig Phata|20.13757|73.96946
527|Tapovan Depot|Nashik|Pimpalgaon Tolnaka|20.14221|73.97674
528|Tapovan Depot|Nashik|Market Yard|20.15150|73.98230
529|Tapovan Depot|Nashik|Pimpalgaon S.T. Depot|20.16540|73.98792
530|Tapovan Depot|Nashik|Pimpalgaon Bus Stand|20.16804|73.99116
531|Tapovan Depot|Nashik|Niphad Phata|20.17031|73.99295
532|Tapovan Depot|Nashik|Gopalbaba Samadhi|20.17706|73.99260
533|Tapovan Depot|Nashik|Pimpalgaon Baswant / Wani Chaufuli|20.18330|73.99262
534|Tapovan Depot|Nashik|Tapovan (D)|20.00868|73.81443
535|Tapovan Depot|Nashik|M.S.E.B Power House (U)|20.01552|73.99057
536|Tapovan Depot|Nashik|H.P. Petrol Pump (U)|19.99976|73.93135
537|Tapovan Depot|Nashik|Shilapur (U)|19.99652|73.89924
538|Nashik Road Depot|Nashik|Trimbkeshwar (Mahadeo Mandir)|19.93422|73.53251
539|Nashik Road Depot|Nashik|Trimbkeshwar (Khanderao Mandir)|19.93562|73.52976
540|Tapovan Depot|Nashik|Jagannath Chowk|19.95437|73.77605
541|Nashik Road Depot|Nashik|Snehnagar|20.04255|73.80530
542|Tapovan Depot|Nashik|Gharkul Shivar (Chunchale)|19.94191|73.71349
543|Tapovan Depot|Nashik|Nashik Cluster|19.95963|73.73420
544|Tapovan Depot|Nashik|Abhishek Bakery|19.95405|73.72662
545|Tapovan Depot|Nashik|APC Company / Mauli Chowk|19.94713|73.71797
546|Tapovan Depot|Nashik|Hanuman Mandir (Gharkul Shivar)|19.94663|73.71786
547|Tapovan Depot|Nashik|Lahuji Nagar (D)|19.94408|73.71524
548|Tapovan Depot|Nashik|Hanuman Temple (Gharkul)|19.94648|73.71787
549|Tapovan Depot|Nashik|A.P.C Company / Mauli Chowk|19.94867|73.71998
550|Tapovan Depot|Nashik|Abhishek Bakery|19.95425|73.72689
551|Tapovan Depot|Nashik|Maruti Sankul / Kanifnath Nagar|19.95818|73.73099
552|Tapovan Depot|Nashik|Datir Nagar|19.95869|73.73323
553|Tapovan Depot|Nashik|Nashik Cluster|19.95986|73.73443
554|Tapovan Depot|Nashik|Maruti Sankul|19.96171|73.74149
555|Tapovan Depot|Nashik|Medical Phata 3|20.03125|73.85692
556|Tapovan Depot|Nashik|Chhatrapati Shivaji Vidyalaya|19.99028|73.72662
557|Nashik Road Depot|Nashik|Chari (Shindegaon)|19.91839|73.90199
558|Nashik Road Depot|Nashik|UDL Company (Shinde)|19.91993|73.90599
559|Nashik Road Depot|Nashik|S.T. Colony|19.92186|73.88148
560|Nashik Road Depot|Nashik|Mamu Sheth Vasti|20.00580|74.00685
561|Nashik Road Depot|Nashik|Berwadi Fata|19.99430|74.00589
562|Nashik Road Depot|Nashik|Chatori Gaon|19.99467|73.99650
563|Nashik Road Depot|Nashik|Anand Wadi Fata|19.98672|73.99079
564|Nashik Road Depot|Nashik|Juni Sawali|19.97383|73.97919
565|Nashik Road Depot|Nashik|Navin Sawali|19.96517|73.98000
566|Nashik Road Depot|Nashik|Chavan Mala|19.95913|73.97964
567|Nashik Road Depot|Nashik|Naigaon Market Yard|19.95359|73.97739
568|Nashik Road Depot|Nashik|Naigaon|19.95316|73.96737
569|Nashik Road Depot|Nashik|Godavari Agro|19.95230|73.96434
570|Tapovan Depot|Nashik|Amro College|19.90230|73.69941
571|Tapovan Depot|Nashik|Canol Ojhar Road|20.13411|73.96733
572|Tapovan Depot|Nashik|H.A.L Highway Stop|20.11665|73.95289
573|Tapovan Depot|Nashik|H.A.L Gate A|20.10496|73.93947
574|Tapovan Depot|Nashik|Gadakh Corner (U)|20.09525|73.92439
575|Tapovan Depot|Nashik|Milind Nagar|20.09369|73.93163
576|Tapovan Depot|Nashik|Maharana Pratap Chowk 1|20.09325|73.92990
577|Tapovan Depot|Nashik|Mahanagar Palika Hadda (Kaman)|20.07578|73.80540
578|Tapovan Depot|Nashik|Manori Fata|20.08178|73.80402
579|Tapovan Depot|Nashik|Toll Naka (Dindori)|20.09616|73.80650
580|Tapovan Depot|Nashik|Dhakambe|20.10370|73.80700
581|Tapovan Depot|Nashik|Bhagwanrao Bodke Farm|20.11138|73.80837
582|Tapovan Depot|Nashik|Pimpalnare|20.11696|73.80972
583|Tapovan Depot|Nashik|LPG Petrol Pump|20.12411|73.81183
584|Tapovan Depot|Nashik|Kathwad Nagar|20.12822|73.81283
585|Tapovan Depot|Nashik|Shahid Yashwant Nagar|20.13525|73.81459
586|Tapovan Depot|Nashik|Talegaon|20.14188|73.81813
587|Tapovan Depot|Nashik|Datta Mandir 1|20.14360|73.81897
588|Tapovan Depot|Nashik|Sarkari Dawakhana|20.14593|73.81957
589|Tapovan Depot|Nashik|Akrale Fata|20.15710|73.82208
590|Tapovan Depot|Nashik|Bharat Petrol Pump|20.16841|73.82511
591|Tapovan Depot|Nashik|Poultry Farm|20.17694|73.82642
592|Tapovan Depot|Nashik|Vanarwadi Fata|20.18519|73.82741
593|Tapovan Depot|Nashik|Raje Vasti|20.18795|73.82812
594|Tapovan Depot|Nashik|Padekar Nagar|20.19733|73.83130
595|Tapovan Depot|Nashik|Dindori Bus Stand|20.20164|73.83071
596|Tapovan Depot|Nashik|Shinde Vasti / Kadam Vasti|20.09022|73.93169
597|Tapovan Depot|Nashik|ITI (Ozar)|20.08492|73.93398
598|Tapovan Depot|Nashik|Sonewadi Fata|20.08623|73.92671
599|Tapovan Depot|Nashik|Saikheda Chaufuli Ozar|20.08929|73.92356
600|Tapovan Depot|Nashik|Gadakh Corner (D)|20.09540|73.92495
601|Tapovan Depot|Nashik|H.A.L Main Gate 1|20.10403|73.93754
602|Tapovan Depot|Nashik|Chandori Choufuli|20.02403|73.99555
603|Tapovan Depot|Nashik|Virat Nagar|19.97215|73.72658
604|Nashik Road Depot|Nashik|Lakhalgaon|20.00015|73.92277
605|Nashik Road Depot|Nashik|Sinner Phata 1|19.94711|73.84755
606|Nashik Road Depot|Nashik|Garware|19.94322|73.74296
607|Tapovan Depot|Nashik|Sarul Fata (U)|19.92147|73.71490
608|Tapovan Depot|Nashik|Jain Mandir (U)|19.93000|73.72200
609|Tapovan Depot|Nashik|Dongar Baba Mandir (U)|19.93211|73.72512
610|Tapovan Depot|Nashik|Gaulane Fata (U)|19.93656|73.73599
611|Nashik Road Depot|Nashik|Jai Shankar Garden (D)|19.99418|73.80881
612|Nashik Road Depot|Nashik|Kathe Galli Signal|19.99053|73.79984
613|Nashik Road Depot|Nashik|Trikoni Garden|19.99021|73.80473
614|Tapovan Depot|Nashik|Ganesh Nagar 1|19.99190|73.80555
615|Nashik Road Depot|Nashik|Geetai Nagar|19.99224|73.81334
616|Tapovan Depot|Nashik|Samata Nagar (U) Takali Rd|19.98353|73.81766
617|Tapovan Depot|Nashik|Pandit Nagar|19.96907|73.75804
618|Tapovan Depot|Nashik|Kalbhairav Chowk|19.97398|73.75915
619|Tapovan Depot|Nashik|Mahalakshmi Chowk|19.97684|73.75978
620|Tapovan Depot|Nashik|Gargi College|19.98161|73.76005
621|Tapovan Depot|Nashik|Patil Nagar Graound|19.98383|73.76052
622|Tapovan Depot|Nashik|Wani Clinic|19.98440|73.76309
623|Tapovan Depot|Nashik|Rugn Imperia|19.98423|73.76593
624|Tapovan Depot|Nashik|Raje Sambhaji Vyayam Shala|19.98617|73.76606
625|Tapovan Depot|Nashik|Papaya Nursary / Ambad Phata|19.98625|73.72423
626|Tapovan Depot|Nashik|Jadhav Sankul Gate / Amrut Garden 1|19.98445|73.72020
627|Tapovan Depot|Nashik|Sanskruti Hotel (D)|19.97198|73.67988
628|Tapovan Depot|Nashik|Sandip Foundation Admin Gate (D)|19.96898|73.66983
629|Tapovan Depot|Nashik|Sandip Foundation Main Gate (D)|19.96757|73.66617
630|Tapovan Depot|Nashik|Anjneri Phata|19.95471|73.59173
631|Tapovan Depot|Nashik|Gajanan Maharaj Mandir (U)|19.93782|73.53682
632|Tapovan Depot|Nashik|Water Park|19.95770|73.60808
633|Tapovan Depot|Nashik|Sandip Foundation Main Gate (U)|19.96746|73.66624
634|Tapovan Depot|Nashik|Belgaon Dhaga Phata (D)|19.97373|73.68559
635|Tapovan Depot|Nashik|Jadhav Sankul Gate / Amrut Garden|19.98308|73.71812
636|Tapovan Depot|Nashik|Papaya Nursary / Ambad Phata 1 (U)|19.98535|73.72283
637|Nashik Road Depot|Nashik|Dwarka 3|19.99414|73.79770
638|Nashik Road Depot|Nashik|Dwarka|19.99456|73.79762
639|Nashik Road Depot|Nashik|Sharanpur Police Chowki|19.99471|73.76980
640|Nashik Road Depot|Nashik|Mane Nagar / Gajanan Colony|20.02700|73.82718
641|Nashik Road Depot|Nashik|Gadkari Chowk|19.99347|73.78375
642|Nashik Road Depot|Nashik|Nirmal Nagar Police Chowki|20.02495|73.82926
643|Nashik Road Depot|Nashik|Gayatri Nagar / Rajmata|20.03229|73.80884
644|Tapovan Depot|Nashik|Goraksh Nagar Corner|20.03404|73.79896
645|Nashik Road Depot|Nashik|Pethroad Chowfulli|20.02777|73.79525
646|Tapovan Depot|Nashik|Tuljabhavani Nagar|20.02711|73.79049
647|Nashik Road Depot|Nashik|Samarth Nagar 1|20.02649|73.78755
648|Nashik Road Depot|Nashik|Makhmalabad Chowfulii|20.02554|73.78544
649|Nashik Road Depot|Nashik|Hanumanwadi|20.01781|73.78567
650|Nashik Road Depot|Nashik|Raka Nursary|20.01593|73.78358
651|Tapovan Depot|Nashik|Koshire Chowk / Ramwadi|20.01200|73.77725
652|Nashik Road Depot|Nashik|Canada Corner|20.00272|73.77012
653|Nashik Road Depot|Nashik|Tibetian Market|19.99883|73.76893
654|Tapovan Depot|Nashik|Sharanpur Police Chowki (U)|19.99505|73.76932
655|Nashik Road Depot|Nashik|Chhatrapati Shivaji Maharaj Nagar (Nashik Road) 1|19.97402|73.84104
656|Nashik Road Depot|Nashik|Narayan Bapu Nagar 1 (D)|19.97579|73.83664
657|Tapovan Depot|Nashik|Narayan Bapu Nagar 1 (U)|19.97628|73.83521
658|Tapovan Depot|Nashik|Takli Phata / Filter Plant 1|19.98320|73.82885
659|Nashik Road Depot|Nashik|Mahamrutyunjay Mahadev Mandir|19.98991|73.83009
660|Nashik Road Depot|Nashik|Sidhivinayak Lawans 1|20.00189|73.83126
661|Nashik Road Depot|Nashik|Sidhivinayak Lawans|20.00278|73.83134
662|Nashik Road Depot|Nashik|RTO Corner|20.03295|73.80245
663|Nashik Road Depot|Nashik|Goraksh Nagar|20.03451|73.79904
664|Nashik Road Depot|Nashik|Jui Nagar|20.04064|73.79894
665|Nashik Road Depot|Nashik|Omkar Nagar|20.04613|73.79925
666|Nashik Road Depot|Nashik|Kansara Mata Chowk (D)|20.04838|73.79927
667|Nashik Road Depot|Nashik|Kansara Mata Chowk (U)|20.04946|73.79911
668|Nashik Road Depot|Nashik|Ganraj Colony|19.94178|73.80606
669|Tapovan Depot|Nashik|Rajput Colony|19.94190|73.80542
670|Nashik Road Depot|Nashik|L & T Gate|19.94304|73.79425
671|Nashik Road Depot|Nashik|Vedner Gate|19.94146|73.81039
672|Nashik Road Depot|Nashik|Kendriya Vidyalay (Vadner)|19.94053|73.81059
673|Tapovan Depot|Nashik|Maruti Mandir|19.96160|73.74426
674|Tapovan Depot|Nashik|Sai Vijay Hotel|19.96184|73.75008
675|Tapovan Depot|Nashik|Symbiosis Chaufulli|19.95900|73.75555
676|Nashik Road Depot|Nashik|Silver Oak School|20.06603|73.68377
677|Nashik Road Depot|Nashik|Ranmala|20.03259|73.69517
678|Nashik Road Depot|Nashik|Mico Hall|19.96155|73.75867
679|Nashik Road Depot|Nashik|Ganesh Chauk|19.96953|73.76645
680|Nashik Road Depot|Nashik|Ganesh Nagar|19.93192|73.78968
681|Tapovan Depot|Nashik|Jadhav Wasti (Pimpalgaon Khamb) (U)|19.92721|73.79174
682|Nashik Road Depot|Nashik|Bhavani Nagar 1 (U)|19.92675|73.80120
683|Tapovan Depot|Nashik|Mhasoba Mandir 1 (D)|19.92792|73.80717
684|Nashik Road Depot|Nashik|Vihit Gaon 1|19.93731|73.83068
685|Nashik Road Depot|Nashik|Vihit Gaon Phata|19.93729|73.83393
686|Tapovan Depot|Nashik|Upnagar 1|19.96934|73.81931
687|Nashik Road Depot|Nashik|Echhamani|19.97109|73.82254
688|Nashik Road Depot|Nashik|Narayan Bapu Nagar (D)|19.97557|73.83510
689|Nashik Road Depot|Nashik|Sailani Baba 1 (D)|19.97908|73.84314
690|Nashik Road Depot|Nashik|Rajrajeshwari (D)|19.97923|73.84792
691|Nashik Road Depot|Nashik|Prakash Borade Chowk (D)|19.97801|73.85371
692|Nashik Road Depot|Nashik|Bharat Bhushan Society (D)|19.97777|73.85791
693|Nashik Road Depot|Nashik|Bhairavnath Nagar 1|19.97735|73.86257
